image,variant,flow_threshold,cellprob_threshold,cell_count,diameter_estimate
CP HEK293 (10),A_raw_gray,0.2,-3.0,3,-1
CP HEK293 (10),A_raw_gray,0.2,-2.0,32,-1
CP HEK293 (10),A_raw_gray,0.2,-1.0,200,-1
CP HEK293 (10),A_raw_gray,0.2,0.0,285,-1
CP HEK293 (10),A_raw_gray,0.2,1.0,274,-1
CP HEK293 (10),A_raw_gray,0.2,2.0,199,-1
CP HEK293 (10),A_raw_gray,0.3,-3.0,45,-1
CP HEK293 (10),A_raw_gray,0.3,-2.0,195,-1
CP HEK293 (10),A_raw_gray,0.3,-1.0,307,-1
CP HEK293 (10),A_raw_gray,0.3,0.0,351,-1
CP HEK293 (10),A_raw_gray,0.3,1.0,296,-1
CP HEK293 (10),A_raw_gray,0.3,2.0,216,-1
CP HEK293 (10),A_raw_gray,0.4,-3.0,180,-1
CP HEK293 (10),A_raw_gray,0.4,-2.0,308,-1
CP HEK293 (10),A_raw_gray,0.4,-1.0,377,-1
CP HEK293 (10),A_raw_gray,0.4,0.0,383,-1
CP HEK293 (10),A_raw_gray,0.4,1.0,311,-1
CP HEK293 (10),A_raw_gray,0.4,2.0,221,-1
CP HEK293 (10),A_raw_gray,0.5,-3.0,297,-1
CP HEK293 (10),A_raw_gray,0.5,-2.0,376,-1
CP HEK293 (10),A_raw_gray,0.5,-1.0,414,-1
CP HEK293 (10),A_raw_gray,0.5,0.0,401,-1
CP HEK293 (10),A_raw_gray,0.5,1.0,318,-1
CP HEK293 (10),A_raw_gray,0.5,2.0,225,-1
CP HEK293 (10),A_raw_gray,0.6,-3.0,369,-1
CP HEK293 (10),A_raw_gray,0.6,-2.0,422,-1
CP HEK293 (10),A_raw_gray,0.6,-1.0,455,-1
CP HEK293 (10),A_raw_gray,0.6,0.0,412,-1
CP HEK293 (10),A_raw_gray,0.6,1.0,320,-1
CP HEK293 (10),A_raw_gray,0.6,2.0,232,-1
CP HEK293 (10),A_raw_gray,0.7,-3.0,442,-1
CP HEK293 (10),A_raw_gray,0.7,-2.0,475,-1
CP HEK293 (10),A_raw_gray,0.7,-1.0,473,-1
CP HEK293 (10),A_raw_gray,0.7,0.0,418,-1
CP HEK293 (10),A_raw_gray,0.7,1.0,324,-1
CP HEK293 (10),A_raw_gray,0.7,2.0,235,-1
CP HEK293 (10),A_raw_gray,0.8,-3.0,504,-1
CP HEK293 (10),A_raw_gray,0.8,-2.0,516,-1
CP HEK293 (10),A_raw_gray,0.8,-1.0,495,-1
CP HEK293 (10),A_raw_gray,0.8,0.0,422,-1
CP HEK293 (10),A_raw_gray,0.8,1.0,326,-1
CP HEK293 (10),A_raw_gray,0.8,2.0,238,-1
CP HEK293 (10),A_raw_gray,0.9,-3.0,553,-1
CP HEK293 (10),A_raw_gray,0.9,-2.0,545,-1
CP HEK293 (10),A_raw_gray,0.9,-1.0,500,-1
CP HEK293 (10),A_raw_gray,0.9,0.0,423,-1
CP HEK293 (10),A_raw_gray,0.9,1.0,327,-1
CP HEK293 (10),A_raw_gray,0.9,2.0,239,-1
CP HEK293 (10),A_raw_gray,1.0,-3.0,651,-1
CP HEK293 (10),A_raw_gray,1.0,-2.0,567,-1
CP HEK293 (10),A_raw_gray,1.0,-1.0,501,-1
CP HEK293 (10),A_raw_gray,1.0,0.0,423,-1
CP HEK293 (10),A_raw_gray,1.0,1.0,329,-1
CP HEK293 (10),A_raw_gray,1.0,2.0,241,-1
CP HEK293 (10),B_channel,0.2,-3.0,1,-1
CP HEK293 (10),B_channel,0.2,-2.0,21,-1
CP HEK293 (10),B_channel,0.2,-1.0,184,-1
CP HEK293 (10),B_channel,0.2,0.0,260,-1
CP HEK293 (10),B_channel,0.2,1.0,255,-1
CP HEK293 (10),B_channel,0.2,2.0,191,-1
CP HEK293 (10),B_channel,0.3,-3.0,26,-1
CP HEK293 (10),B_channel,0.3,-2.0,169,-1
CP HEK293 (10),B_channel,0.3,-1.0,284,-1
CP HEK293 (10),B_channel,0.3,0.0,329,-1
CP HEK293 (10),B_channel,0.3,1.0,276,-1
CP HEK293 (10),B_channel,0.3,2.0,202,-1
CP HEK293 (10),B_channel,0.4,-3.0,159,-1
CP HEK293 (10),B_channel,0.4,-2.0,283,-1
CP HEK293 (10),B_channel,0.4,-1.0,355,-1
CP HEK293 (10),B_channel,0.4,0.0,371,-1
CP HEK293 (10),B_channel,0.4,1.0,291,-1
CP HEK293 (10),B_channel,0.4,2.0,218,-1
CP HEK293 (10),B_channel,0.5,-3.0,274,-1
CP HEK293 (10),B_channel,0.5,-2.0,353,-1
CP HEK293 (10),B_channel,0.5,-1.0,405,-1
CP HEK293 (10),B_channel,0.5,0.0,381,-1
CP HEK293 (10),B_channel,0.5,1.0,300,-1
CP HEK293 (10),B_channel,0.5,2.0,222,-1
CP HEK293 (10),B_channel,0.6,-3.0,356,-1
CP HEK293 (10),B_channel,0.6,-2.0,401,-1
CP HEK293 (10),B_channel,0.6,-1.0,436,-1
CP HEK293 (10),B_channel,0.6,0.0,392,-1
CP HEK293 (10),B_channel,0.6,1.0,307,-1
CP HEK293 (10),B_channel,0.6,2.0,228,-1
CP HEK293 (10),B_channel,0.7,-3.0,421,-1
CP HEK293 (10),B_channel,0.7,-2.0,456,-1
CP HEK293 (10),B_channel,0.7,-1.0,458,-1
CP HEK293 (10),B_channel,0.7,0.0,401,-1
CP HEK293 (10),B_channel,0.7,1.0,308,-1
CP HEK293 (10),B_channel,0.7,2.0,233,-1
CP HEK293 (10),B_channel,0.8,-3.0,482,-1
CP HEK293 (10),B_channel,0.8,-2.0,493,-1
CP HEK293 (10),B_channel,0.8,-1.0,473,-1
CP HEK293 (10),B_channel,0.8,0.0,403,-1
CP HEK293 (10),B_channel,0.8,1.0,309,-1
CP HEK293 (10),B_channel,0.8,2.0,233,-1
CP HEK293 (10),B_channel,0.9,-3.0,546,-1
CP HEK293 (10),B_channel,0.9,-2.0,528,-1
CP HEK293 (10),B_channel,0.9,-1.0,487,-1
CP HEK293 (10),B_channel,0.9,0.0,406,-1
CP HEK293 (10),B_channel,0.9,1.0,313,-1
CP HEK293 (10),B_channel,0.9,2.0,233,-1
CP HEK293 (10),B_channel,1.0,-3.0,644,-1
CP HEK293 (10),B_channel,1.0,-2.0,563,-1
CP HEK293 (10),B_channel,1.0,-1.0,489,-1
CP HEK293 (10),B_channel,1.0,0.0,407,-1
CP HEK293 (10),B_channel,1.0,1.0,314,-1
CP HEK293 (10),B_channel,1.0,2.0,233,-1
CP HEK293 (10),C_current_pipeline,0.2,-3.0,0,-1
CP HEK293 (10),C_current_pipeline,0.2,-2.0,27,-1
CP HEK293 (10),C_current_pipeline,0.2,-1.0,201,-1
CP HEK293 (10),C_current_pipeline,0.2,0.0,273,-1
CP HEK293 (10),C_current_pipeline,0.2,1.0,252,-1
CP HEK293 (10),C_current_pipeline,0.2,2.0,167,-1
CP HEK293 (10),C_current_pipeline,0.3,-3.0,21,-1
CP HEK293 (10),C_current_pipeline,0.3,-2.0,179,-1
CP HEK293 (10),C_current_pipeline,0.3,-1.0,291,-1
CP HEK293 (10),C_current_pipeline,0.3,0.0,335,-1
CP HEK293 (10),C_current_pipeline,0.3,1.0,267,-1
CP HEK293 (10),C_current_pipeline,0.3,2.0,174,-1
CP HEK293 (10),C_current_pipeline,0.4,-3.0,124,-1
CP HEK293 (10),C_current_pipeline,0.4,-2.0,266,-1
CP HEK293 (10),C_current_pipeline,0.4,-1.0,358,-1
CP HEK293 (10),C_current_pipeline,0.4,0.0,363,-1
CP HEK293 (10),C_current_pipeline,0.4,1.0,277,-1
CP HEK293 (10),C_current_pipeline,0.4,2.0,181,-1
CP HEK293 (10),C_current_pipeline,0.5,-3.0,237,-1
CP HEK293 (10),C_current_pipeline,0.5,-2.0,342,-1
CP HEK293 (10),C_current_pipeline,0.5,-1.0,408,-1
CP HEK293 (10),C_current_pipeline,0.5,0.0,373,-1
CP HEK293 (10),C_current_pipeline,0.5,1.0,279,-1
CP HEK293 (10),C_current_pipeline,0.5,2.0,184,-1
CP HEK293 (10),C_current_pipeline,0.6,-3.0,335,-1
CP HEK293 (10),C_current_pipeline,0.6,-2.0,406,-1
CP HEK293 (10),C_current_pipeline,0.6,-1.0,446,-1
CP HEK293 (10),C_current_pipeline,0.6,0.0,376,-1
CP HEK293 (10),C_current_pipeline,0.6,1.0,282,-1
CP HEK293 (10),C_current_pipeline,0.6,2.0,186,-1
CP HEK293 (10),C_current_pipeline,0.7,-3.0,411,-1
CP HEK293 (10),C_current_pipeline,0.7,-2.0,464,-1
CP HEK293 (10),C_current_pipeline,0.7,-1.0,467,-1
CP HEK293 (10),C_current_pipeline,0.7,0.0,378,-1
